Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0,Voltage(V) - Plot 0
517,730,656,6,534,1023,301,439,529,727,607,482,515,772,0,594,537,724,603,64,520,749,30,347,540,772,513,453,516,779,0,379
516,734,663,6,534,1023,285,419,529,722,599,476,515,777,0,604,537,724,602,64,520,752,30,351,540,771,512,452,516,774,0,364
516,731,660,6,534,1023,300,438,529,713,585,465,515,775,0,601,538,736,617,67,520,742,30,341,540,769,509,451,516,776,0,369
516,734,661,6,534,1023,291,431,529,715,587,467,515,770,0,584,537,736,621,67,520,744,30,343,540,768,506,448,516,783,0,390
516,730,658,6,534,1023,300,439,529,728,605,483,515,774,0,598,537,729,603,65,520,757,31,358,540,761,497,444,516,774,0,363
516,734,662,6,534,1023,286,423,529,713,582,465,515,776,0,598,537,731,613,66,520,741,30,341,541,772,511,453,516,781,0,386
516,722,647,6,534,1023,301,442,529,725,600,480,515,770,0,589,538,735,614,67,520,754,30,354,540,757,491,440,516,778,0,371
516,731,660,7,534,1023,285,419,529,720,590,471,515,778,0,604,537,726,604,65,520,751,30,348,541,771,510,453,516,779,0,377
516,722,648,6,534,1023,297,440,529,719,592,473,515,769,0,583,538,737,620,69,520,750,30,348,540,760,494,441,516,783,0,385
516,726,655,7,534,1023,294,430,529,727,601,481,515,777,0,603,537,724,598,65,520,757,31,356,540,767,504,448,516,776,0,367
516,734,662,7,534,1023,289,430,529,714,584,467,515,772,0,586,538,735,617,68,520,744,30,342,541,769,506,449,516,783,0,389
516,722,648,7,535,1023,300,440,529,728,602,483,515,774,0,596,538,730,602,66,520,758,31,358,540,761,495,443,516,774,0,363
516,734,661,7,534,1023,285,422,529,713,579,465,515,776,0,600,537,730,608,67,520,742,30,341,541,773,511,453,516,780,0,385
516,722,646,7,535,1023,300,442,529,724,597,479,515,769,0,588,538,736,612,68,520,753,30,353,540,758,489,440,516,778,0,375
516,731,656,7,534,1023,284,420,529,722,581,473,515,776,0,605,537,729,565,67,520,756,27,357,541,770,491,450,516,770,0,376
516,730,555,7,535,1023,283,437,529,719,474,472,515,760,0,583,538,738,511,69,520,750,22,346,541,763,448,441,516,769,0,386
516,726,607,7,535,1023,274,432,529,728,478,481,515,776,0,603,537,725,426,65,520,759,20,356,541,767,441,447,516,761,0,366
